row_id	field	category	before	after
test-00001-of-00003.parquet#1409	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00001-of-00003.parquet#1481	reason_zh[0]	R2 硬帽→安全帽	工人戴着一顶草帽，但并非一顶硬帽。	工人戴着一顶草帽，但并非一顶安全帽。
test-00001-of-00003.parquet#1487	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
test-00001-of-00003.parquet#1496	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00001-of-00003.parquet#1539	caption_zh	R3 缩写展开(SUV)	前景中有五个人，旁边停着一辆SUV。中间有一个人正在打电话。背景中有八台塔式起重机以及几栋正在施工的高楼。图像右侧有一堆尺寸木材。	前景中有五个人，旁边停着一辆运动型多用途汽车（SUV，Sport Utility Vehicle）。中间有一个人正在打电话。背景中有八台塔式起重机以及几栋正在施工的高楼。图像右侧有一堆尺寸木材。
test-00001-of-00003.parquet#1540	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
test-00001-of-00003.parquet#1604	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00001-of-00003.parquet#1613	reason_zh[0]	R2 硬帽→安全帽	前景中的人没有戴硬帽。	前景中的人没有戴安全帽。
test-00001-of-00003.parquet#1625	caption_zh	R3 缩写展开(SUV)	图中有七名工人。地面上有两条金属栏杆，他们似乎正在进行进行一项实验。他们附近有一辆自卸卡车和一辆黑色SUV。	图中有七名工人。地面上有两条金属栏杆，他们似乎正在进行进行一项实验。他们附近有一辆自卸卡车和一辆黑色运动型多用途汽车（SUV，Sport Utility Vehicle）。
test-00001-of-00003.parquet#1625	reason_zh[0]	R2 硬帽→安全帽	中间蹲着的的女工未戴硬帽。戴红色硬帽的女工穿着短裤。	中间蹲着的的女工未戴安全帽。戴红色安全帽的女工穿着短裤。
test-00001-of-00003.parquet#1645	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00001-of-00003.parquet#1694	caption_zh	R2 硬帽→安全帽	沥青摊铺路。左侧一名头戴草帽的工人正用沥青工具平整铺沥青。右侧一名头戴白色硬帽的工人正弯腰在地面上画着什么。沥青摊铺路现场共有六名工人。	沥青摊铺路。左侧一名头戴草帽的工人正用沥青工具平整铺沥青。右侧一名头戴白色安全帽的工人正弯腰在地面上画着什么。沥青摊铺路现场共有六名工人。
test-00001-of-00003.parquet#1694	reason_zh[0]	R2 硬帽→安全帽	左侧手持一根棍棒的人没有戴硬帽。	左侧手持一根棍棒的人没有戴安全帽。
test-00001-of-00003.parquet#1695	reason_zh[0]	R2 硬帽→安全帽	左侧骑车的人没有戴硬帽。	左侧骑车的人没有戴安全帽。
test-00001-of-00003.parquet#1704	reason_zh[0]	R2 硬帽→安全帽	前景中的黑衣人没有戴硬帽，而是穿着短裤。一些工人没有在左侧的嵌入物上戴硬帽。	前景中的黑衣人没有戴安全帽，而是穿着短裤。一些工人没有在左侧的嵌入物上戴安全帽。
test-00001-of-00003.parquet#1704	reason_zh[1]	R2 硬帽→安全帽	前景中的黑衣人没有戴硬帽，而是穿着短裤。一些工人没有在左侧的嵌入物上戴硬帽。	前景中的黑衣人没有戴安全帽，而是穿着短裤。一些工人没有在左侧的嵌入物上戴安全帽。
test-00001-of-00003.parquet#1710	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00001-of-00003.parquet#1711	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
test-00001-of-00003.parquet#1744	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00001-of-00003.parquet#1788	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00001-of-00003.parquet#1846	reason_zh[0]	R2 硬帽→安全帽	此人未戴硬帽。	此人未戴安全帽。
test-00001-of-00003.parquet#1854	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
test-00001-of-00003.parquet#1911	caption_zh	R2 硬帽→安全帽	图中有两名挖掘机。左侧有一台三脚架。有两个人，其中一人戴着一顶白色硬帽，位于黄色挖掘机的前方。	图中有两名挖掘机。左侧有一台三脚架。有两个人，其中一人戴着一顶白色安全帽，位于黄色挖掘机的前方。
test-00001-of-00003.parquet#1939	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00001-of-00003.parquet#1959	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00002-of-00003.parquet#2012	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2046	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2063	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
test-00002-of-00003.parquet#2080	reason_zh[0]	R2 硬帽→安全帽	站在皮卡车左侧的人没有戴硬帽。	站在皮卡车左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2094	caption_zh	R2 硬帽→安全帽	约十名工人聚集在一处覆土覆盖的建筑工地上。其中几人戴着各种颜色的如白色、红色或黄色的的硬帽。他们中有两人手持测量杆。他们周围停放着一些民用车辆。	约十名工人聚集在一处覆土覆盖的建筑工地上。其中几人戴着各种颜色的如白色、红色或黄色的的安全帽。他们中有两人手持测量杆。他们周围停放着一些民用车辆。
test-00002-of-00003.parquet#2139	reason_zh[0]	R2 硬帽→安全帽	绿衣工未戴左侧硬帽	绿衣工未戴左侧安全帽
test-00002-of-00003.parquet#2156	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
test-00002-of-00003.parquet#2158	reason_zh[0]	R2 硬帽→安全帽	左侧站在岩石上的人没有戴硬帽。	左侧站在岩石上的人没有戴安全帽。
test-00002-of-00003.parquet#2158	reason_zh[1]	R2 硬帽→安全帽	左侧站在岩石上的人没有戴硬帽。	左侧站在岩石上的人没有戴安全帽。
test-00002-of-00003.parquet#2162	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00002-of-00003.parquet#2166	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2179	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2181	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽，穿着短裤和夹脚鞋。	中间那个人没戴安全帽，穿着短裤和夹脚鞋。
test-00002-of-00003.parquet#2190	reason_zh[0]	R2 硬帽→安全帽	挖掘机左侧的人没有戴硬帽。	挖掘机左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2224	reason_zh[0]	R2 硬帽→安全帽	前方的人没有戴硬帽。	前方的人没有戴安全帽。
test-00002-of-00003.parquet#2335	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00002-of-00003.parquet#2352	reason_zh[0]	R2 硬帽→安全帽	左侧穿灰色卫衣的人没有戴硬帽。	左侧穿灰色卫衣的人没有戴安全帽。
test-00002-of-00003.parquet#2384	reason_zh[0]	R2 硬帽→安全帽	戴白色硬帽子的工人位于中间，靠近中间的挖掘机，且正处于其盲区。	戴白色安全帽的工人位于中间，靠近中间的挖掘机，且正处于其盲区。
test-00002-of-00003.parquet#2424	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00002-of-00003.parquet#2447	reason_zh[0]	R2 硬帽→安全帽	站在白色混装卡车顶部的的那个人没有戴硬帽。	站在白色混装卡车顶部的的那个人没有戴安全帽。
test-00002-of-00003.parquet#2462	reason_zh[0]	R2 硬帽→安全帽	左侧的人没有戴硬帽。	左侧的人没有戴安全帽。
test-00002-of-00003.parquet#2478	reason_zh[0]	R2 硬帽→安全帽	右侧的人没有戴硬帽。	右侧的人没有戴安全帽。
test-00002-of-00003.parquet#2500	caption_zh	R2 硬帽→安全帽	画面显示四个人站在一条土路上，左侧有一大堆土，右侧散落着碎屑，主要由碎砖和碎石组成。其中三个人背对镜头，其中一人戴着一顶白色硬帽。第四个人在左侧部分可见。在三人组中间的左侧有一大堆土。在背景中，有灌木丛和一条水渠平行于路径，远处还有电力线和工业结构。	画面显示四个人站在一条土路上，左侧有一大堆土，右侧散落着碎屑，主要由碎砖和碎石组成。其中三个人背对镜头，其中一人戴着一顶白色安全帽。第四个人在左侧部分可见。在三人组中间的左侧有一大堆土。在背景中，有灌木丛和一条水渠平行于路径，远处还有电力线和工业结构。
test-00002-of-00003.parquet#2519	reason_zh[0]	R2 硬帽→安全帽	右上方的人没有戴硬帽。	右上方的人没有戴安全帽。
test-00002-of-00003.parquet#2532	reason_zh[0]	R2 硬帽→安全帽	工人在沥青中间没有戴硬帽。	工人在沥青中间没有戴安全帽。
test-00002-of-00003.parquet#2540	reason_zh[0]	R2 硬帽→安全帽	右侧的人站在自卸卡车旁，没有戴硬帽。	右侧的人站在自卸卡车旁，没有戴安全帽。
test-00002-of-00003.parquet#2551	reason_zh[0]	R2 硬帽→安全帽	左侧穿蓝色衣服的人没有戴硬帽。	左侧穿蓝色衣服的人没有戴安全帽。
test-00002-of-00003.parquet#2581	reason_zh[0]	R2 硬帽→安全帽	背景中的人没有戴硬帽。	背景中的人没有戴安全帽。
test-00002-of-00003.parquet#2598	reason_zh[0]	R2 硬帽→安全帽	穿灰色卫衣的工人没有戴硬帽。	穿灰色卫衣的工人没有戴安全帽。
test-00002-of-00003.parquet#2619	reason_zh[0]	R2 硬帽→安全帽	没有工人戴硬帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。	没有工人戴安全帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。
test-00002-of-00003.parquet#2619	reason_zh[1]	R2 硬帽→安全帽	没有工人戴硬帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。	没有工人戴安全帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。
test-00002-of-00003.parquet#2619	reason_zh[2]	R2 硬帽→安全帽	没有工人戴硬帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。	没有工人戴安全帽。位于中间的工人没有正确穿着他的衬衫，而位于脚手架顶部的的那名工人穿着无袖衬衫。
test-00002-of-00003.parquet#2645	reason_zh[0]	R2 硬帽→安全帽	图中没有工人戴硬帽。	图中没有工人戴安全帽。
test-00002-of-00003.parquet#2670	reason_zh[0]	R2 硬帽→安全帽	前景右侧的人没有戴硬帽。	前景右侧的人没有戴安全帽。
test-00002-of-00003.parquet#2673	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
test-00002-of-00003.parquet#2683	reason_zh[0]	R2 硬帽→安全帽	工人戴着一顶草帽，但并非一顶硬帽。	工人戴着一顶草帽，但并非一顶安全帽。
test-00002-of-00003.parquet#2694	reason_zh[0]	R2 硬帽→安全帽	最右侧的人没有戴硬帽，穿着一件无袖衬衫。	最右侧的人没有戴安全帽，穿着一件无袖衬衫。
test-00002-of-00003.parquet#2704	reason_zh[0]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
test-00002-of-00003.parquet#2704	reason_zh[1]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
test-00002-of-00003.parquet#2704	reason_zh[2]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
test-00002-of-00003.parquet#2704	reason_zh[3]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
test-00002-of-00003.parquet#2704	reason_zh[4]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
test-00002-of-00003.parquet#2734	reason_zh[0]	R2 硬帽→安全帽	黑色SUV车前的人没有戴硬帽。	黑色运动型多用途汽车（SUV，Sport Utility Vehicle）车前的人没有戴安全帽。
test-00002-of-00003.parquet#2742	reason_zh[0]	R2同源 残留英文/错译	左侧的一名工人和右侧的两名为“hard hats”的工人均未佩戴安全帽。	左侧的一名工人和右侧坐着的两名工人均未佩戴安全帽。
test-00002-of-00003.parquet#2742	reason_zh[1]	R2同源 残留英文/错译	左侧的一名工人和右侧的两名为“hard hats”的工人均未佩戴安全帽。	左侧的一名工人和右侧坐着的两名工人均未佩戴安全帽。
test-00002-of-00003.parquet#2757	reason_zh[0]	R2 硬帽→安全帽	左侧的人站在楼梯前，没有戴硬帽。	左侧的人站在楼梯前，没有戴安全帽。
test-00002-of-00003.parquet#2787	reason_zh[0]	R2 硬帽→安全帽	左侧蹲着的人没有戴硬帽。	左侧蹲着的人没有戴安全帽。
test-00002-of-00003.parquet#2823	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
test-00002-of-00003.parquet#2847	reason_zh[0]	R2 硬帽→安全帽	右上角的那个人没戴硬帽。	右上角的那个人没戴安全帽。
test-00002-of-00003.parquet#2854	reason_zh[0]	R2 硬帽→安全帽	黑衣者未戴硬帽，而黄衫者穿着短裤。	黑衣者未戴安全帽，而黄衫者穿着短裤。
test-00002-of-00003.parquet#2903	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
test-00002-of-00003.parquet#2943	caption_zh	R2 硬帽→安全帽	图中有一个人戴着白色硬帽、条纹衬衫和手套子，似乎正在进行进行土试验。此人跪在地上，用锤子敲击一个绿色工具。前景中有一个红色工具箱，里面装着各种圆柱形金属物件和一些塑料袋。一根轴放在地上，紧挨着工具箱。地面是湿的，带着脚印和泥坑。	图中有一个人戴着白色安全帽、条纹衬衫和手套子，似乎正在进行进行土试验。此人跪在地上，用锤子敲击一个绿色工具。前景中有一个红色工具箱，里面装着各种圆柱形金属物件和一些塑料袋。一根轴放在地上，紧挨着工具箱。地面是湿的，带着脚印和泥坑。
train-00000-of-00007.parquet#3011	reason_zh[0]	R2 硬帽→安全帽	戴红硬帽的工人中间没有穿长裤。	戴红安全帽的工人中间没有穿长裤。
train-00000-of-00007.parquet#3026	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有硬帽。	中间的工人没有安全帽。
train-00000-of-00007.parquet#3096	reason_zh[0]	R2 硬帽→安全帽	图中的人没有戴硬帽。	图中的人没有戴安全帽。
train-00000-of-00007.parquet#3118	reason_zh[0]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
train-00000-of-00007.parquet#3118	reason_zh[1]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
train-00000-of-00007.parquet#3118	reason_zh[2]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
train-00000-of-00007.parquet#3118	reason_zh[3]	R2 硬帽→安全帽	图中没有工人戴着硬帽。	图中没有工人戴着安全帽。
train-00000-of-00007.parquet#3123	reason_zh[0]	R2 硬帽→安全帽	前景左侧的人没有戴硬帽。	前景左侧的人没有戴安全帽。
train-00000-of-00007.parquet#3171	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有硬帽。	中间的工人没有安全帽。
train-00000-of-00007.parquet#3178	reason_zh[0]	R2 硬帽→安全帽	左侧的工人没有戴硬帽。	左侧的工人没有戴安全帽。
train-00000-of-00007.parquet#3181	reason_zh[0]	R2 硬帽→安全帽	右侧的工人没有戴硬帽。	右侧的工人没有戴安全帽。
train-00000-of-00007.parquet#3187	reason_zh[0]	R2 硬帽→安全帽	左侧穿黄色衬衫的工人没有戴硬帽。	左侧穿黄色衬衫的工人没有戴安全帽。
train-00000-of-00007.parquet#3188	reason_zh[0]	R2 硬帽→安全帽	右侧的工人没有戴硬帽。	右侧的工人没有戴安全帽。
train-00000-of-00007.parquet#3188	reason_zh[1]	R2 硬帽→安全帽	右侧的工人没有戴硬帽。	右侧的工人没有戴安全帽。
train-00000-of-00007.parquet#3217	reason_zh[0]	R2 硬帽→安全帽	中间的工人没有戴硬帽。	中间的工人没有戴安全帽。
train-00000-of-00007.parquet#3285	reason_zh[0]	R2 硬帽→安全帽	中间那个人没戴硬帽。	中间那个人没戴安全帽。
